Gaststätte „Gliggermühle“,Ludwigstraße 7,Altrip,1732,"Fachwerkhaus, teilweise massiv, 1732",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Altrip,49.433225,8.502774
Fassade,"Hauptstraße, an Nr. 154",Dannstadt-Schauernheim,1854,"straßenseitige Fassade und Dach eines Wohnhaus, verdachte Toranlage, bezeichnet 1854",Kein Bild vorhanden,49.424842,8.317515
Fassade,"Hauptstraße, an Nr. 156",Dannstadt-Schauernheim,1849,"straßenseitige Fassade und Dach eines Wohnhaus, verdachte Toranlage, bezeichnet 1849",Kein Bild vorhanden,49.424742,8.317746
Hofanlage,Hauptstraße 158,Dannstadt-Schauernheim,1700!18. und 19. Jahrhundert,"Hofanlage, 18. und 19. Jahrhundert; Krüppelwalmdachbau, teilweise Fachwerk (verputzt), bezeichnet 1790; Wirtschaftsgebäude, Torfahrt bezeichnet 1790",Kein Bild vorhanden,49.424568,8.318048
Wohnhaus,Hauptstraße 168,Dannstadt-Schauernheim,1686,"barockes Wohnhaus, teilweise Fachwerk, bezeichnet 1686",Kein Bild vorhanden,49.424158,8.318728
Torfahrt,"Hauptstraße, zu Nr. 180",Dannstadt-Schauernheim,1724,"barocke Torfahrt, bezeichnet 1724",Kein Bild vorhanden,49.423522,8.319593
Dreiseithof,Hauptstraße 184,Dannstadt-Schauernheim,1856,"Dreiseithof, bezeichnet 1856",Kein Bild vorhanden,49.423291,8.319837
Dreiseithof,Hauptstraße 188,Dannstadt-Schauernheim,1862!um 1862,"Dreiseithof, um 1862",Kein Bild vorhanden,49.423063,8.320099
Wohnhaus,Hauptstraße 190,Dannstadt-Schauernheim,1775!spätes 18. Jahrhundert,"Wohnhaus, spätbarocker Krüppelwalmdachbau, Fachwerkgiebel verputzt, spätes 18. Jahrhundert",Kein Bild vorhanden,49.422943,8.320221
Vierseithof,Hauptstraße 204,Dannstadt-Schauernheim,1785,"spätbarocker Vierseithof; sandsteingegliedertes Wohnhaus, Torfahrt bezeichnet 1785; Putz- und Fachwerkwirtschaftsgebäude",Kein Bild vorhanden,49.421893,8.321445
Wohnhaus,Hauptstraße 206,Dannstadt-Schauernheim,1850,"Wohnhaus mit Krüppelwalmdach, 1850; Toranlage bezeichnet 1854",//commons.wikimedia.org/wiki/Category:St._Michael_(Dannstadt),49.421707,8.321688
Katholische Pfarrkirche St. Michael,Kirchenstraße 6,Dannstadt-Schauernheim,1496!vor 1496,"ehemaliger Chorflankenturm, im Kern romanisch, untere Geschosse 1496; neugotischer Rotsandsteinquader-Saalbau, Erweiterung 1965/66; Ausstattung; am Turm barockes Kruzifix, bezeichnet 1760",//commons.wikimedia.org/wiki/Category:Protestanische_Kirche_Dannstadt,49.426408,8.317377
Spolie,"Kirchenstraße, an Nr. 16",Dannstadt-Schauernheim,1720,"Spolie, Bäckerbrezel, bezeichnet 1720",Kein Bild vorhanden,49.425933,8.318503
Fachwerkhaus,Kirchenstraße 18,Dannstadt-Schauernheim,1686,"barockes Fachwerkwohnhaus, bezeichnet 1686 und 1930 (Renovierung), hofseitig bezeichnet 1753 (massive Erdgeschoss-Erneuerung)",Kein Bild vorhanden,49.425631,8.318707
Protestantische Pfarrkirche,Kirchenstraße 22,Dannstadt-Schauernheim,1848!1848/49,"neuromanischer Saalbau, 1848/49, Architekt Jakob Foltz, Speyer; Ausstattung",Kein Bild vorhanden,49.425244,8.318756
Wohnhaus,Kirchenstraße 27,Dannstadt-Schauernheim,1875!um 1875,"neuklassizistisches Wohnhaus, um 1875; durchgreifend erneuert",Kein Bild vorhanden,49.425741,8.318844
Dreiseithof,Kirchenstraße 29,Dannstadt-Schauernheim,1911,"Dreiseithof, 1911; gründerzeitliches Wohnhaus, eineinhalbgeschossiger Altensitz",Kein Bild vorhanden,49.425556,8.318916
Wohnhaus,Raiffeisenstraße 2,Dannstadt-Schauernheim,1748,"Wohnhaus, eineinhalbgeschossiger Putzbau, bezeichnet 1748",Kein Bild vorhanden,49.424737,8.319257
Fachwerkhaus,Raiffeisenstraße 19,Dannstadt-Schauernheim,1700!18. Jahrhundert,"eineinhalbgeschossiges Fachwerkwohnhaus, im Kern aus dem 18. Jahrhundert, massive Teilerneuerung in der Mitte des 19. Jahrhunderts",//commons.wikimedia.org/wiki/Category:St._C%C3%A4cilia_(Dannstadt-Schauernheim),49.424702,8.320754
Hofanlage,Raiffeisenstraße 22,Dannstadt-Schauernheim,1700!18. und 19. Jahrhundert,"Hofanlage, 18. und 19. Jahrhundert; Fachwerkwohnhaus, im Kern barock, im 19. Jahrhundert massiv ummantelt; eingeschossiges Nebengebäude, bezeichnet 1747; Toranlage bezeichnet 1745; rückwärtig Bruchsteinscheune, bezeichnet 1807",Kein Bild vorhanden,49.423251,8.321999
Dreiseithof,Raiffeisenstraße 39,Dannstadt-Schauernheim,1800!erstes Viertel des 19. Jahrhunderts,"Dreiseithof, erstes Viertel des 19. Jahrhunderts; eineinhalbgeschossiges Wohnhaus, bezeichnet 1824; Nebengebäude, teilweise Fachwerk; Bruchsteinscheune 1816",//commons.wikimedia.org/wiki/Category:Melanchthonkirche_(Dannstadt-Schauernheim),49.423545,8.321868
Katholische Pfarrkirche St. Cäcilia,Hintergasse 4,Dannstadt-Schauernheim,1729,"barocker Saalbau mit Dachreiter, 1729, im Kern mittelalterlich; spätgotische Sakristei, wohl 16. Jahrhundert",Kein Bild vorhanden,49.4389,8.3065
Fachwerkhaus,Hintergasse 8,Dannstadt-Schauernheim,1700!erste Hälfte des 18. Jahrhunderts,"eingeschossiges Fachwerkwohnhaus, teilweise massiv, mit Kniestock, erste Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.439116,8.30654
Protestantische Melanchthonkirche,Hintergasse 14,Dannstadt-Schauernheim,1824,"klassizistischer Saalbau, 1824, abgerückter Turm 1955/56; ortsbildprägend",,49.4389,8.3073
Fachwerkhaus,Obergasse 10,Dannstadt-Schauernheim,1500!16. oder 17. Jahrhundert,"Fachwerkwohnhaus, teilweise verputzt, wohl aus dem 16. oder 17. Jahrhundert, bezeichnet 1727 (transloziert)",,49.4381,8.3050
Dreiseithof,Untergasse 7,Dannstadt-Schauernheim,1850!Mitte des 19. Jahrhunderts,"ehemaliger Dreiseithof, Mitte des 19. Jahrhunderts; eingeschossiges Wohnhaus mit Kniestock, 1850, Altensitz, klassizistische Torfahrt",,49.438567,8.307063
Flurkapelle,Berghauser Straße/Landauer Straße,Dudenhofen,1854!1854/55,"Flurkapelle; gotisierender Satteldachbau, Glockengiebel, 1854/55; Stuckrelief, bezeichnet 1855",//commons.wikimedia.org/wiki/Category:St._Gangolf_(Dudenhofen),49.310629,8.387886
Kreuzigungsgruppe,"Berghauser Straße/Landauer Straße, nördlich der Flurkapelle",Dudenhofen,1818,"dreiteilige Kreuzigungsgruppe, 1818",//commons.wikimedia.org/wiki/Category:Alte_M%C3%BChle_(Dudenhofen),49.310701,8.387845
Villa,Johann-Walter-Straße 2,Dudenhofen,1920,"repräsentative Walmdachvilla, 1920, Gartenpavillon mit Ringpultdach; straßenbildprägend",,49.315164,8.392598
Gasthaus „Zum Goldenen Lamm“,Landauer Straße 2,Dudenhofen,1905!um 1905,"massiver Eckbau, teilweise Pseudofachwerk, um 1905; barocker Gewölbekeller",,49.315961,8.389693
Friedhofskapelle und Grabmäler,"Neustadter Straße, auf dem Friedhof",Dudenhofen,1875!ab dem Ende des 19. Jahrhunderts,"Friedhof wohl kurz vor 1820 angelegt, 1850, 1870, 1913 und 1965 erweitert; historisierende Friedhofskapelle mit Leichenhalle: Krüppelwalmdachbau, bezeichnet 1913; Kriegerdenkmal 1914/18, 1923 von Oskar Bauer; Friedhofskreuz: Sockel bezeichnet 1742, Wiederkreuz wohl vom Ende des 19. Jahrhunderts; Grabmäler: J. Becker († 1888), neugotisch; Familie J. Walter († 1948), Galvanorelief, um 1915; J. Juncker († 1919), von Peter Demmerle, Speyer; H. Ofer († 1927), Galvanorelief; J. Steiger († 1967), wiederverwendete Galvanoplastik, Ende des 19. Jahrhunderts",,49.318859,8.388513
Katholische Pfarrkirche St. Gangolf,Neustadter Straße 10,Dudenhofen,1867!1867/77,"Turm des Vorgängerbaus, 1769/70, Architekt Johann Georg Hotter, Speyer; Rotsandsteinquaderbau, 1867/77, Architekt Franz Schöberl, Speyer; Ausstattung",,49.316827,8.389692
Katholischer Pfarrhof,Raiffeisenstraße 12,Dudenhofen,1754!1754/55,"Krüppelwalmdachbau, 1754/55; Scheune mit Krüppelwalmdach und Schuppen bauzeitlich; im Hof Taufbecken aus der katholischen Kirche, 1887, von Lorenz Vonderschmitt; Hofmauer, 1902, mit Pfeilern des Hoftors von 1755",,49.317484,8.390484
Gaststätte „Zum Adler“,Speyerer Straße 3,Dudenhofen,"","Wirts- und Wohnhaus; barocker Mansardwalmdachbau, teilweise Fachwerk, mit schmiedeeisernem Wirtshausschild, um 1750",,49.316207,8.390417
Wegekreuz,"Speyerer Straße, Ecke Boligweg",Dudenhofen,1816,"Wegekreuz, nachbarock, bezeichnet 1816",,49.31597,8.394305
Bannmühle,St.-Klara-Straße 14,Dudenhofen,1902,"Mühle, 1902: viergeschossiger Ziegelbau, zinnenartiger Wandabschluss, Flachdach; Wohnhaus in großem Garten: repräsentative Villa auf unregelmäßigem Grundriss, Jugendstilmotive; heute „Künstlerhaus Dudenhofen“",,49.317387,8.387467
Spolie,"St.-Klara-Straße, an Nr. 27",Dudenhofen,1684,"Spolie vom ehemaligen St.-Klara-Kloster in Speyer, Sandsteinrelief, bezeichnet 1684",,49.316914,8.385407
Denkmalzone Ortskern,"Hauptstraße 1–79, Ruchheimer Straße 2 und 4",Fußgönheim,1750!vor 1750,"historischer Ortskern im Bereich der bis 1750 bebauten Fläche entlang der Hauptstraße mit Pfarrkirche, Pfarrhof und ehemaligem Schloss, im Osten bis zum Holzgartenbach reichend, Bausubstanz überwiegend aus dem 19. Jahrhundert",Kein Bild vorhanden,49.459157,8.293789
Denkmalzone Jüdischer Friedhof,"Bahnhofstraße, Abzweigung Ellerstadter Straße",Fußgönheim,1769,"Grabsteine von 1769 bis ins 20. Jahrhundert, große Anzahl von Grabmälern des 18. Jahrhunderts, die älteren aus Sandstein, die jüngeren aus Granit",//commons.wikimedia.org/wiki/Category:Lutherkirche_(Fu%C3%9Fg%C3%B6nheim),49.463728,8.289956
Rathaus,Amtsstraße 10,Fußgönheim,1908,"repräsentativer Krüppelwalmdachbau, bezeichnet 1908",//commons.wikimedia.org/wiki/Category:Synagogue_(Fu%C3%9Fg%C3%B6nheim),49.461212,8.292525
Kriegerdenkmal,"Bahnhofstraße, auf dem Friedhof",Fußgönheim,1900!um 1900,"Friedhof 1825 angelegt, 1865 und 1951 erweitert; Kriegerdenkmal 1866 und 1870/71, Säule mit Reichsadler, um 1900",//commons.wikimedia.org/wiki/Category:Hallbergsches_Schloss_(Fu%C3%9Fg%C3%B6nheim),49.463376,8.29192
Protestantischer Pfarrhof,Hauptstraße 20,Fußgönheim,1851!1851/52,"zweieinhalbgeschossiger Putzbau, 1851/52, barocke Bruchsteinnebengebäude 1781, Umfassungsmauer 18. Jahrhundert",//commons.wikimedia.org/wiki/Category:Schlosskirche_Fu%C3%9Fg%C3%B6nnheim,49.459971,8.293311
Protestantisches Schulhaus,Hauptstraße 22,Fußgönheim,1860!um 1860,"ehemaliges protestantisches Schulhaus; klassizistischer Walmdachbau, um 1860, Keller und Sockel wohl von 1820",,49.459703,8.293447
Torfahrt,"Hauptstraße, zu Nr. 35",Fußgönheim,1775!spätes 18. Jahrhundert,"verdachte Torfahrt, spätes 18. Jahrhundert",,49.459496,8.293756
Protestantische Pfarrkirche,Hauptstraße 40/42,Fußgönheim,"","Saalbau 1732/33, eingestellter Fassadenturm 1842, Schiff 1911 erhöht; vor der Südwand drei Grabmäler, 17. und 18. Jahrhundert; ortsbildprägend",,49.459063,8.293709
Wohnhaus,Hauptstraße 45,Fußgönheim,1820,"sandsteingegliedertes Wohnhaus, 1820",,49.458938,8.293958
Vierseithof,Hauptstraße 53,Fußgönheim,1775!spätes 18. oder 19. Jahrhundert,"Vierseithof, spätes 18. oder 19. Jahrhundert; Wohnhaus 1848, Torfahrt bezeichnet 1788; Nebengebäude um 1865",,49.45837,8.294035
Synagoge,Hauptstraße 64,Fußgönheim,1842,"ehemalige Synagoge, jetzt Museum; Saalbau im Rundbogenstil, 1842",,49.45757,8.293983
Hallbergsches Schloss,Hauptstraße 65/67,Fußgönheim,1728!1728–31,"Hallbergsches Schloss, 1728–31; Torhaus: spätbarocker Walmdachbau; Schloss: Dreiflügelbau; Umfassungsmauer des Gartens",,49.457626,8.29495
Katholische Pfarrkirche St. Jakobus Major,"Hauptstraße, bei Nr. 65/67",Fußgönheim,1740!1740/41,"Katholische Pfarrkirche St. Jakobus Major, Saalbau mit Dachturm, 1740/41; mit Ausstattung; Teil des Schlosses",,49.457717,8.294667
Protestantischer Pfarrhof,Beindesheimer Straße 3,Großniedesheim,1753,"eingeschossiger barocker Krüppelwalmdachbau, 1753, Architekt Pfanner, Ausbau um 1860; Wappenstein bezeichnet 1925; barocke Bruchsteinscheune, teilweise Fachwerk",Kein Bild vorhanden,49.57516,8.313254
Wohnhaus,Hauptstraße 2,Großniedesheim,1880!um 1880,"eineinhalbgeschossiges Wohnhaus, um 1880; straßenbildprägend",Kein Bild vorhanden,49.57663,8.312634
Hofanlage,Hauptstraße 6,Großniedesheim,1726,"Hofanlage; Wohnhaus bezeichnet 1726, 1842 modernisiert, Keller eventuell aus dem 16. oder 17. Jahrhundert; Scheune wohl aus dem frühen 19. Jahrhundert, Stall und Wirtschaftsgebäude bezeichnet 1799; Sandsteinpfeiler der barocken Toranlage",Kein Bild vorhanden,49.576291,8.312517
Wohnhaus,Hauptstraße 8,Großniedesheim,1750!zweite Hälfte des 18. Jahrhunderts,"eingeschossiges Wohnhaus mit Krüppelwalmdach, zweite Hälfte des 18. Jahrhunderts; Torfahrt",Kein Bild vorhanden,49.576133,8.312524
Wohnhaus,Hauptstraße 10,Großniedesheim,1792,"spätbarockes Wohnhaus mit Krüppelwalmdach, bezeichnet 1792",Kein Bild vorhanden,49.576018,8.312486
Rat- und Schulhaus,Hauptstraße 11/13,Großniedesheim,1825!nach 1825,"ehemaliges Rathaus (Nr. 11) und ehemaliges Schulhaus (Nr. 13), klassizistische Anlage, kurz nach 1825, Nr. 13 im Kern aus dem 18. Jahrhundert; eingeschossige Krüppelwalmdachbauten, Dreiecksgiebel mit Fußwalmen; außergewöhnliche Toranlage",Kein Bild vorhanden,49.575807,8.312674
Hofhaus,Hauptstraße 12,Großniedesheim,1860!1860/70,"traufständiges Hofhaus, Putzbau mit atteldach, 1860/70",Kein Bild vorhanden,49.575872,8.31243
Wohnhaus,Hauptstraße 14,Großniedesheim,1780,"sandsteingegliedertes Wohnhaus, bezeichnet 1780; Torfahrt",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Gro%C3%9Fniedesheim,49.575752,8.312422
Protestantische Pfarrkirche,Hauptstraße 19,Großniedesheim,1000!ab dem 11. Jahrhundert,"Saalbau, 1753, Architekten Pfanner und Burger, Worms; Chorflankenturm und Schiff teilweise aus dem ersten Drittel des 12. Jahrhunderts, im Kern wohl aus der Mitte des 11. Jahrhunderts, Glockengeschoss und Helm von 1753; romanischer Chor gotisch erweitert",Kein Bild vorhanden,49.574915,8.313106
Kriegerdenkmal,"Hauptstraße, vor Nr. 19",Großniedesheim,1927!1927/28,"Kriegerdenkmal 1914/18, reliefierte Muschelkalkstele, 1927/28",Kein Bild vorhanden,49.574968,8.312906
Wappenstein,"Hauptstraße, an Nr. 24",Großniedesheim,1733,"Wappenstein, bezeichnet 1733",Kein Bild vorhanden,49.575115,8.312577
Wohnhaus,Hauptstraße 34,Großniedesheim,1833,"klassizistisches Wohnhaus, bezeichnet 1833; Toranlage",Kein Bild vorhanden,49.574552,8.312702
Wohnhaus,Hauptstraße 46,Großniedesheim,1870!um 1870/80,"zweieinhalbgeschossiges spätklassizistisches Wohnhaus, um 1870/80",,49.573827,8.312561
Wasserturm,Heppenheimer Straße,Großniedesheim,1929,"46 m hoher, in Gleitschalung betonierter Wasserturm, 1929",,49.577915,8.311051
Hofanlage,Kleinniedesheimer Straße 7,Großniedesheim,1880!um 1880,"Hofanlage, traufständiger Putzbau, Wirtschaftsgebäude zum Teil verändert, um 1880",,49.577274,8.313292
Straßenbrücke,Alte Kirchstraße,Hanhofen,1884,"Bogenbrücke über den Woogbach, Sandsteinblöcke, bezeichnet 1884",//commons.wikimedia.org/wiki/Category:Martinskirche_(Hanhofen),49.315672,8.345113
Fachwerkhaus,Alte Kirchstraße 2,Hanhofen,1815!um 1815,"eingeschossiges Fachwerkwohnhaus mit fußwalmartigen Vordächern, um 1815",,49.316199,8.345052
Gasthaus „Zur Krone“,Alte Landstraße 20,Hanhofen,1874,"Wohn- und Gasthaus, 1874; straßenbildprägend",,49.314781,8.34173
Fachwerkhaus,Alte Landstraße 21,Hanhofen,1830!um 1830,"eingeschossiges Fachwerkwohnhaus, um 1830",,49.31478,8.341575
Schlossmühle,Hauptstraße 1,Hanhofen,1750!Mitte des 18. Jahrhunderts,"breitgelagertes Wohnhaus und Mühle, langgezogener Putzbau mit Kniestock, 1893, im Kern aus der Mitte des 18. Jahrhunderts; Torpfeiler, 18. Jahrhundert, bezeichnet 1837 und 1857",,49.314997,8.338517
Wohnhaus,Hauptstraße 26,Hanhofen,1750!zweite Hälfte des 18. Jahrhunderts,"Wohnhaus eines Hofes, eingeschossiger Krüppelwalmdachbau mit Fachwerkgiebel, zweite Hälfte des 18. Jahrhunderts; straßenbildprägend",,49.31604,8.342756
Katholische Pfarrkirche St. Martin,Hauptstraße 27,Hanhofen,1759!1759–63,"Saalbau, 1759–63, Architekt Leonhard Stahl, Turm 1776 vollendet, hier Nischenfigur, 18. Jahrhundert; Ausstattung seit Ende des 15. Jahrhunderts; straßen- und ortsbildprägend",,49.316247,8.342952
Wohnhaus,Hauptstraße 32,Hanhofen,1700!erste Hälfte des 18. Jahrhunderts,"Wohnhaus eines Hofes, eingeschossiger Fachwerkbau mit Kniestock, erste Hälfte des 18. Jahrhunderts",,49.316423,8.343798
Schul- und Rathaus,Hauptstraße 38,Hanhofen,1775!Ende des 18. Jahrhunderts,"ehemaliges Schul- und Rathaus; Putzbau, Erdgeschoss vom Ende des 18. Jahrhunderts, Aufstockung am Anfang des 20. Jahrhunderts; ortsbildprägend",,49.316462,8.344549
Wohnhaus,Hauptstraße 49,Hanhofen,1750!zweite Hälfte des 18. Jahrhunderts,"L-förmiges Wohnhaus; eingeschossiger Bruchsteinbau, verputzt, zweite Hälfte des 18. Jahrhunderts",,49.316633,8.345803
Friedhofskreuz und Grabmal,"Iggelheimer Straße, auf dem Friedhof",Hanhofen,1850!ab 1850,"Friedhof um 1840 angelegt, zuletzt 1967 erweitert; Friedhofskreuz, bezeichnet 1850; Grabmal P. Burgay († 1912), Steinkreuz auf signiertem Sockel (Demmerle, Speyer)",,49.316795,8.342697
Straßenbrücke,Raiffeisenstraße,Hanhofen,1758,"einbogige Sandsteinquaderbrücke über den Woogbach, bezeichnet 1758",,49.315734,8.343278
Wegekreuz,"Speyerbachweg, am Kreuzhof",Hanhofen,1813,"Wegekreuz, bezeichnet 1813, metallgegossener Korpus, wohl aus der zweiten Hälfte des 19. Jahrhunderts",,49.313177,8.343066
Bildstock,nördlich des Ortes; Flur Kernsäcker,Hanhofen,1779,"Bildstock; Pfeiler mit ausgenischtem Figurengehäuse, bezeichnet 1779",,49.317651,8.340285
Wegekreuz,"westlich von Hanhofen, an der K 26; Flur Obere Rott",Hanhofen,1839,"Wegekreuz, bezeichnet 1839",,49.314879,8.335627
Feldkreuz,zwischen K 26 und Harthäuser Straße,Hanhofen,1700!frühes 18. Jahrhundert,"Feldkreuz; Rotsandsteinkreuz, frühes 18. Jahrhundert",,49.310552,8.340245
Friedhofskreuz und Grabmal,"Am Pfaffensee, auf dem Friedhof",Harthausen,1860!ab 1860,"Friedhof 1823 angelegt, 1840, 1865, 1968 und 1980 erweitert; Friedhofskreuz, bezeichnet 1860; Grabmal A. Löffler († 1918), Jugendstil",//commons.wikimedia.org/wiki/Category:St._Johannes_Baptist_(Harthausen),49.300597,8.34644
Feldkapelle,Hanhofer Straße,Harthausen,1874,"Feldkapelle; Holz und Stein, Firstreiter, 1874; Kreuzigungsgruppe, 1873 von Gottfried Renn, Speyer",Kein Bild vorhanden,49.304815,8.342869
Tabakschuppen,Hanhofer Straße 10,Harthausen,1852,"ehemaliger Tabakschuppen, jetzt Dorfgemeinschaftshaus; hölzerner Stadel mit Klappenkonstruktion, 1852",,49.296573,8.344127
Wohnhaus,Heiligensteiner Straße 2,Harthausen,1856,"eingeschossiges Wohnhaus mit Kniestock, 1856; straßenbildprägend",,49.29417,8.346199
Wegekreuz,Josef-Diebold-Straße,Harthausen,1951,"schlichtes Kreuz mit Korpus, 1951 von Werner Schreiner, Harthausen",,49.295632,8.355646
Fachwerkhaus,Rappengasse 8,Harthausen,1836,"eingeschossiges Fachwerkwohnhaus, Toranlage bezeichnet 1836",,49.296141,8.349144
Kreuzigungsgruppe,"Speyerer Straße, Ecke Schwegenheimer Straße",Harthausen,1777,"Kreuzigungsgruppe; lebensgroße Sandsteingruppe, 1777, Renovierungen bezeichnet 1808, 1908/1952",,49.295141,8.345368
Katholische Pfarrkirche St. Johannes der Täufer,Speyerer Straße 10,Harthausen,1872,"Saalbau, sogenannter Maximilianstil, 1872, Architekt Anton Hurt, Speyer; die beiden unteren Turmgeschosse spätgotisch; mit Ausstattung",,49.294939,8.344758
Fachwerkhaus,Speyerer Straße 16,Harthausen,1700!erste Hälfte des 18. Jahrhunderts,"eingeschossiges Fachwerkwohnhaus mit Kniestock, erste Hälfte des 18. Jahrhunderts, Gauben 19. Jahrhundert",,49.295252,8.345789
Fachwerkhaus,Speyerer Straße 30,Harthausen,1833,"eingeschossiges Fachwerkwohnhaus, bezeichnet 1833",,49.295625,8.347118
Gasthaus „Zum Ochsen“,Speyerer Straße 37,Harthausen,1874,"stattliches Wohn- und ehemaliges Gasthaus „Zum Ochsen“, 1874",,49.295733,8.346912
Wohnhaus,Speyerer Straße 101,Harthausen,1750!zweite Hälfte des 18. Jahrhunderts,"eineinhalbgeschossiges barockes Wohnhaus, wohl aus der zweiten Hälfte des 18. Jahrhunderts; ortsbildprägend",,49.29811,8.350474
Wohnhaus,Zwerchgasse 4,Harthausen,1870!um 1870,"eineinhalbgeschossiges Wohnhaus, um 1870",,49.297558,8.350368
Feldkreuz,nördlich des Ortes am Modenbach; Flur Bachgewanne,Harthausen,1700!18. Jahrhundert,"Feldkreuz, Steinkreuz, wohl aus dem 18. Jahrhundert",,49.305564,8.350267
Brücke,nordwestlich des Ortes; Flur Obere Flußgewanne,Harthausen,1821,"einbogige Sandsteinbrücke über den Kropsbach, 1821",,49.308579,8.321024
Bildstock,südlich des Ortes an der K 26; Flur Am Bildstock,Harthausen,1718,"Bildstock, hufeisenförmige Nische auf Pfeiler, bezeichnet 1718",,49.288507,8.359566
Wegekreuz,südlich des Ortes an der K 26; Flur An der Heiligensteiner Straße,Harthausen,1824,"Wegekreuz, ehemaliges Friedhofskreuz von 1824",,49.290144,8.353364
Grabmal,"Alte Straße, auf dem Friedhof",Heßheim,1911,"Grabmal E. Gärtner († 1911), monumentales Gusssteinkreuz von E. Glückstein, Frankenthal",Kein Bild vorhanden,49.546264,8.304036
Hofanlage,Bleichstraße 1,Heßheim,1849,"Hofanlage; großvolumiger Putzbau, Krüppelwalmdach, 1849",Kein Bild vorhanden,49.544172,8.309395
Kriegerdenkmal,Friedhofstraße,Heßheim,1875!Ende des 19. Jahrhunderts,"Kriegerdenkmal 1866 und 1870/71, Sandsteinpfeiler",Kein Bild vorhanden,49.54635,8.3063
Katholische Pfarrkirche St. Martin,Friedhofstraße 13,Heßheim,1753!1753–58,"Saalbau, 1753–58; Westturm 12. Jahrhundert, oberstes Geschoss und querhausartige Erweiterung 1958, Architekt Wilhelm Schulte II., Neustadt an der Weinstraße; mit Ausstattung",//commons.wikimedia.org/wiki/Category:St.-Martin-Kirche_(He%C3%9Fheim),49.546422,8.307244
Spolie,"Hauptstraße, an Nr. 20",Heßheim,1748,"Spolie, Bäckerbrezel, bezeichnet 1748",Kein Bild vorhanden,49.546556,8.309269
Rathaus,Hauptstraße 21,Heßheim,1500!16. Jahrhundert,"ehemaliges Rathaus; Putzbau unter steilem Satteldach, bezeichnet 1613, im Kern wohl aus dem 16. Jahrhundert, Uhrtürmchenfragment, um 1717; Glocke, 1717 von Heinrich Ludwig Gosmann, Landau",Kein Bild vorhanden,49.546267,8.309068
Torfahrt,"Hauptstraße, zu Nr. 26",Heßheim,1750!zweite Hälfte des 18. Jahrhunderts,"barocke Torfahrt, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.546186,8.309318
Schulhaus,Hauptstraße 38,Heßheim,1888,"ehemaliges Schulhaus; siebenachsiger Walmdachbau, 1888",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_He%C3%9Fheim,49.545259,8.309287
Protestantische Pfarrkirche,Hauptstraße 47,Heßheim,1950!1950er Jahre,"hausartiger Putzbau, oktogonaler Dachturm, 1950er Jahre, Architekt Wilhelm Ecker",Kein Bild vorhanden,49.545077,8.308934
Herrenhof der Grafen von Leiningen,Hauptstraße 53,Heßheim,1562,"ehemaliger Herrenhof der Grafen von Leiningen; große Hofanlage, im Kern von 1562, teilweise modernisiert im 18. Jahrhundert; Wohnhaus: Krüppelwalmdachbau, im Kern aus dem 16. Jahrhundert, barock überformt; barockes Nebengebäude; Scheune, 18. Jahrhundert; Toranlage, bezeichnet 1745; zugehörig in der Lambsheimer Straße ähnlich aufgebaute Toranlage, teilweise ursprüngliche Umfassungsmauer",,49.544718,8.309122
Katholischer Pfarrhof,Kirchenstraße 10/12,Heßheim,1600!um 1600,"Erdgeschoss des Wohnhauses um 1600, Obergeschoss, teilweise Fachwerk, Dachstuhl und Krüppelwalmdach aus dem 18. Jahrhundert; bauzeitliche Scheune, Nebengebäude und Torfahrt",,49.546354,8.307939
Denkmalzone Jüdischer Friedhof,nördlich des Ortes; Flur Im Ring,Heuchelheim bei Frankenthal,1825,"1825 angelegt, eingefriedetes Areal; zahlreiche Grabmäler",Kein Bild vorhanden,49.567218,8.291311
Burg Heuchelheim,Am Schloß 2,Heuchelheim bei Frankenthal,1700!18. Jahrhundert,"ehemalige Burg Heuchelheim; Einfirstanlage, eingeschossiger Krüppelwalmdachbau, 18. Jahrhundert, mit älteren Teilen",Kein Bild vorhanden,49.563208,8.292552
Protestantisches Pfarrhaus,Breite Straße 3,Heuchelheim bei Frankenthal,1788,"ehemaliges protestantisches Pfarrhaus, stattlicher spätbarocker Krüppelwalmdachbau, 1788",Kein Bild vorhanden,49.562771,8.291174
Torfahrt,"Breite Straße, zu Nr. 14",Heuchelheim bei Frankenthal,1766,"barocke Torfahrt, bezeichnet 1766",Kein Bild vorhanden,49.562357,8.290888
Torfahrt,"Breite Straße, zu Nr. 16",Heuchelheim bei Frankenthal,1728,"barocke Torfahrt, bezeichnet 1728",Kein Bild vorhanden,49.562231,8.29089
Kriegerdenkmal und Grabmal,"Großniedesheimer Straße, auf dem Friedhof",Heuchelheim bei Frankenthal,1904!ab 1904,"Friedhof 1904 angelegt, 1964 erweitert; Kriegerdenkmal 1914/18, Muschelkalk, 1928 von Blümling, Frankenthal, nach 1945 ergänzt; Grabmal F. Müller († 1904), monumentaler Eichbaumstumpf, Gelbsandstein",Kein Bild vorhanden,49.565474,8.292302
